,company,job_title
244,Defense Media Activity,Radar Telemetry Data Analyst
245,Christie Digital Systems,Business Analyst
246,ProcureTechStaff Consulting Services,Data Warehouse Analyst
247,Azusa Pacific University,Senior Financial Analyst with High Tech Manufacturing Leader
248,Radiant System,Data Warehouse Analyst
249,Neudesic,Technical Client Director - Data & Analytics
250,Los Angeles County Department of Human Resources,Financial Analyst - Partner Residuals - Contractor
251,FSA,Resource Analyst (8758)
252,"3 Key Consulting, Inc.",Account Analyst
253,loanDepot,HR Analyst
254,FanAI Inc.,Client Services Analyst
255,Paysafe Group,Volunteer: 1-hour Data & Analytics call for Good Shepherd Services (Remote)
256,Putnam Recruiting Group,Head of Data Science
257,Aplomb Technologies Inc,Business Intelligence Analyst (INCORTA) -Irvine
258,"EPIC Management, LP",PERFORMANCE BUSINESS ANALYST - PERFORMANCE & ANALYTICS - Position #2020-97
259,Dermalogica,Data Analyst - Unilever Prestige
260,UCSF Medical Center,Chief Data and Analytics Officer - IT-Operations Administration (BUS INTEL MGR 4)
261,TechStyle Fashion Group,Data Analytics Intern
262,Cox Automotive Inc.,Sr Digital Analytics Specialist
263,Pacific Clinics,System and Data Analyst
264,Niagara Water,Manufacturing Analytics Manager
265,Huntington Memorial Library,QM Data Analyst
266,Data Center Inc.,Business Systems Analyst-Project Management Applications
267,Electronic Arts (EA),Games Analyst
268,San Manuel Band of Mission Indians,Business Analyst -Data Governance -Glendale
269,"Relevante, Inc.",Provider Performance Analyst
270,Healthcare Staffing Professionals Inc.,Data Analyst
271,CCC,Programmatic Associate
272,Brainjolt,Program Analyst - CPIC (copy)
273,National Research Group,Entertainment & Tech Market Research Analyst - July 2020 Start Date
274,EY,"Financial Analyst, Los Angeles, CA"
275,Walt Disney Direct-to-Consumer & International,Operations Business Analyst – Content Ops
276,Southern Glazer's Wine & Spirits,Transatlantic - Senior Business Analyst
277,Accenture,Entry Level Accenture Infrastructure Advisory Analyst
278,Genuent,Enterprise Data Quality Analyst - EDM
279,InterMedia Advertising,Data Scientist/Visualization Master
280,united parcel service,Sales Operations Data Analytics Specialist
281,DeBellis Catherine & Morreale - corporate staffing,CRM / Loyalty Marketing Analyst
282,Patagonia,IT Business Analyst - Finance and Accounting
283,Loma Linda University,Visualization Developer
284,True Religion Apparel Inc,"Business Analyst, Store Operations"
285,ektello,Data Warehouse Analyst
