,position,company,location
400,"Clinical Data Analyst - Epidemiology and Safety, Full Time, Days, 8 Hours",St. Joseph Health,"Orange, CA, US"
401,Software Developer - Real Time & Big Data,Esri,"Redlands, CA, US"
402,Data Analyst II - Real Estate Banking,City National Bank,"Los Angeles, CA, US"
403,"Senior Data Scientist, Marketing",Harnham,"Irvine, California, United States"
404,Site Reliability Engineer - Real-Time & Big Data,Esri,"Redlands, CA, US"
405,Sr. Big Data Architect,ATMECS Inc,"Santa Monica, CA, US"
406,AWS Big Data Engineer,Bitwise Inc,"Santa Monica, CA, US"
407,Senior Data Product Manager,VelvetJobs,"Costa Mesa, CA, US"
408,Scientist III,Thermo Fisher Scientific,"West Hills, CA, US"
409,"Senior Clinical Lab Scientist, Clinical Lab Svcs - FT/Nights (8hr)",MemorialCare,"Fountain Valley, CA, US"
410,Data Analyst Intern,Internet Brands,"Los Angeles, CA, US"
411,ETL / Big data ⿿ Production Support,Lorven Technologies Inc,"Los Angeles, CA, US"
412,Hi-Tech Industry –AI/Data Science/Deep Machine Learning Senior Manager,Deloitte,"Los Angeles, CA, US"
413,Tech Consulting Senior Manager - Big Data Architecture,EY,"Los Angeles, CA, US"
414,Computer Scientist,Department Of Navy,"Barstow, CA, US"
415,Sr. Data Scientist Lead - Python / Tensorflow / Image Processing/ Keras SQL SVR,Jobspring Partners,"Irvine, CA, US"
416,Senior Software Developer - Big Data,Hulu,"Santa Monica, CA, US"
417,EDM Big Data Administrator,City National Bank,"Los Angeles, CA, US"
418,Software Development Engineer - ML / Big Data / Prime,Amazon,"Santa Monica, CA, US"
419,Business Intelligence Engineer,Amazon,"Santa Monica, CA, US"
420,Safety Data Analyst (SDA) Sr. Associate,Amgen,"Thousand Oaks, CA, US"
421,Healthcare Data Analyst I,IEHP,"Rancho Cucamonga, CA, US"
422,Project Director -Riverside County,"University of California, Riverside","Riverside County, CA, US"
423,Technical- Data Analyst/Programmer I,The Judge Group,"Long Beach, CA, US"
424,"Senior Manager, Statistical Programming",Kite Pharma,"Santa Monica, CA, US"
425,Data Science Senior Manager - Burbank,Capgemini,"Burbank, CA, US"
426,"Senior Manager, Marketing Analytics (Bangkok Based)",Agoda,"Los Angeles, CA, US"
427,Clinical Data Analyst - Kidney Transplant Center,St. Joseph Health,"Orange, CA, US"
428,"Scientist I, Manufacturing Sciences - West Hill, CA",Thermo Fisher Scientific,"West Hills, CA, US"
429,Software Development Engineer - ML / Big Data / Prime,Amazon,"Santa Monica, CA, US"
430,Data Analyst -Los Angeles,"iSpace, Inc.","Los Angeles, CA, US"
431,Senior Associate Data Scientist - Data Science and Engineering Team,Amgen,"Thousand Oaks, CA, US"
432,Healthcare Data Analyst I,IEHP,"Rancho Cucamonga, CA, US"
433,Sr. Data Analyst - Audit,City National Bank,"Los Angeles, CA, US"
434,Senior Data Analyst (Urgent) $50 to $60/hour,Harnham,"Los Angeles, CA, US"
435,Research Scientist III,Amazon,"Manhattan Beach, CA, US"
436,Healthcare Data Analyst I - Finance Analytics,IEHP,"Rancho Cucamonga, CA, US"
437,Lead Big Data Engineer / Scala / Java / Spark / Hadoop,Jobspring Partners,"Santa Monica, CA, US"
438,BI Data Analyst (Contract) Media Company,Harnham,"Los Angeles, CA, US"
439,Project Director,VelvetJobs,"Riverside, CA, US"
440,Senior Data Engineer Direct Fulfillment,Amazon,"Santa Monica, CA, US"
441,Clinical Lab Scientist,St. Joseph Health,"Fullerton, CA, US"
442,Computer Scientist,Department Of Navy,"Point Mugu, CA, US"
443,Data Analyst,Cenergy,"Irwindale, CA, US"
444,Junior Data Analyst -Santa Monica,Staffigo,"Santa Monica, CA, US"
445,Principal Scientist - Assay Development,Amgen,"Thousand Oaks, CA, US"
446,Clinical Laboratory Scientist,CyberCoders,"Irvine, CA, US"
447,Jr. Data Analyst -Los Angeles County,Cenergy International Services,"Los Angeles, CA, US"
448,Software Development Engineer in Test (SDET) - Graph Database Engineer and Network Analysis,Esri,"Redlands, CA, US"
449,Business Intelligence Data Analyst,The Job Network,"Malibu, CA, US"
450,Lead Data Scientist,Robert Half,"Mar Vista, CA, US"
451,Healthcare Data Analyst II,IEHP,"Rancho Cucamonga, CA, US"
452,Lead Data Analyst,Harnham,"Irvine, CA, US"
453,"Software Engineer / React and Redux / Big Data / $130,000",Jobspring Partners,"Los Angeles, CA, US"
454,Data Analyst,Cenergy,"Irwindale, CA, US"
455,Data Analyst,Staffigo,"Irvine, CA, US"
456,Computer Scientist,Department Of Navy,"Hawthorne, CA, US"
457,Process Development Senior Associate - Pivotal Drug Substance Technologies (DST),Amgen,"Thousand Oaks, CA, US"
458,Associate Scientist – Process Development (PD) Pre-Pivotal Attribute Sciences,Amgen,"Thousand Oaks, CA, US"
459,Healthcare Data Analyst II,IEHP,"Rancho Cucamonga, CA, US"
460,"Associate Director, Media Analytics",Harnham,"Los Angeles, California, United States"
461,Lead Data Scientist *Direct Hire Only*,Robert Half,"Playa Vista, CA, US"
462,Applied Scientist II - AMZ3410,Amazon,"Glendale, CA, US"
463,Data Analyst,Cenergy,"Irwindale, CA, US"
464,Junior Data Analyst,Staffigo,"Pasadena, CA, US"
465,Operations Research,Department Of Navy,"Los Angeles, CA, US"
466,Data Analyst(LIBOR),The Job Network,"Santa Monica, CA, US"
467,Scientist - Induced Proximity Platform,Amgen,"Thousand Oaks, CA, US"
468,"Senior Data Scientist, Marketing",Harnham,"Irvine, CA, US"
469,Data Analyst,Cenergy,"Irwindale, CA, US"
470,Junior Data Analyst,Staffigo,"Pasadena, CA, US"
471,Operations Research,Department Of Navy,"Seal Beach, CA, US"
472,Data Analyst,The Job Network,"Irvine, CA, US"
473,Data Analyst  -  Investment Firm,The Job Network,"Los Angeles, CA, US"
474,Operations Research,Department Of Navy,"Twentynine Palms, CA, US"
475,SENIOR MACHINE LEARNING ENGINEER,Harnham,"Los Angeles, CA, US"
476,Data Analyst,Cenergy,"Irwindale, CA, US"
477,Junior Data Analyst,Staffigo,"Irvine, CA, US"
478,Data Analyst  -  Investment Firm,The Job Network,"Los Angeles, CA, US"
479,Operations Research,Department Of Navy,"Point Mugu, CA, US"
480,Director of Machine Learning & Computer Vision,Harnham,"Los Angeles, CA, US"
481,Data Analyst,Cenergy,"Irwindale, CA, US"
482,Junior Data Analyst,Staffigo,"Los Angeles, CA, US"
483,Data Scientist,The Job Network,"Santa Clarita, CA, US"
484,Operations Research,Department Of Navy,"Corona, CA, US"
485,Data Analyst,Cenergy,"Irwindale, CA, US"
486,Junior Data Analyst,Staffigo,"Los Angeles, CA, US"
487,Data Analyst Level II,The Job Network,"Torrance, CA, US"
488,Operations Research,Department Of Navy,"Port Hueneme, CA, US"
489,"Data Analyst, Technology IV",The Job Network,"Los Angeles, CA, US"
490,Data Analyst,Cenergy,"Rosemead, CA, US"
491,Data Analyst,Staffigo,"Santa Ana, CA, US"
492,Data Scientist,The Job Network,"Irvine, CA, US"
493,Data Analyst,Cenergy,"Rosemead, CA, US"
494,Data Analyst,Staffigo,"Irvine, CA, US"
495,Data Scientist,The Job Network,"Irvine, CA, US"
496,Data Analyst,Cenergy,"Irwindale, CA, US"
497,Junior Data Analyst,Staffigo,"Anaheim, CA, US"
498,Data Scientist,The Job Network,"Irvine, CA, US"
499,Data Analyst,Cenergy,"Irwindale, CA, US"
500,Data Analyst,Cenergy,"Irwindale, CA, US"
501,Data Analyst - Junior,Staffigo,"Santa Monica, CA, US"
502,Enterprise Data Analyst,The Job Network,"Los Angeles, CA, US"
503,Data Analyst,Cenergy,"Irwindale, CA, US"
504,Data Analyst – Junior,Staffigo,"Santa Ana, CA, US"
505,Enterprise Data Analyst,The Job Network,"Los Angeles, CA, US"
506,Data Analyst,Cenergy,"Irwindale, CA, US"
507,Data Analyst – Junior,Staffigo,"Anaheim, CA, US"
508,Data Scientist,The Job Network,"Santa Clarita, CA, US"
509,Data Analyst,Cenergy,"Irwindale, CA, US"
510,Data Analyst – Junior,Staffigo,"Irvine, CA, US"
511,Data Scientist,The Job Network,"Torrance, CA, US"
512,SAS Data Analyst,Cenergy,"Pomona, CA, US"
513,Data Analyst – Junior,Staffigo,"Pasadena, CA, US"
514,Data Scientist,The Job Network,"Irvine, CA, US"
515,SAS Data Analyst,Cenergy,"Pomona, CA, US"
516,Data Scientist,The Job Network,"Irvine, CA, US"
517,SAS Data Analyst,Cenergy,"Pomona, CA, US"
518,Senior Data Analyst,The Job Network,"Burbank, CA, US"
519,Data Analyst,Cenergy,"Rialto, CA, US"
520,Data Scientist,The Job Network,"Torrance, CA, US"
521,Data Analyst,Cenergy,"Rialto, CA, US"
522,Sr Data Analyst,The Job Network,"Los Angeles, CA, US"
523,Sr Data Analyst,The Job Network,"Los Angeles, CA, US"
524,Data Science and Analytics Manager,The Job Network,"Los Angeles, CA, US"
525,Senior Data Analyst,The Job Network,"Los Angeles, CA, US"
526,BI/Data Analyst (Alteryx/Tableau)  - Spanish Speaker needed,The Job Network,"West Hollywood, CA, US"
527,Big Data Architect,The Job Network,"Los Angeles, CA, US"
528,Big Data Architect,The Job Network,"Los Angeles, CA, US"
529,Big Data Architect,The Job Network,"Los Angeles, CA, US"
530,big data architect,The Job Network,"Torrance, CA, US"
531,big data architect,The Job Network,"Torrance, CA, US"
532,Data Science Platform Engineer,The Job Network,"Torrance, CA, US"
533,Big Data Architect,The Job Network,"Los Angeles, CA, US"
534,Data Science Platform Engineer,The Job Network,"Torrance, CA, US"
535,Data Science Platform Engineer,The Job Network,"Torrance, CA, US"
536,Big Data Engineer,The Job Network,"Costa Mesa, CA, US"
537,Big Data Engineer,The Job Network,"Costa Mesa, CA, US"
538,"Manager, Data Science  -  Santa Ana, CA or Eden Prairie, MN",The Job Network,"Santa Ana, CA, US"
539,"Data Scientist  - Long - Term Contract; Torrance, CA",The Job Network,"Torrance, CA, US"
