,job_id,job_title,company,location,senority,posted_time,employment_type,scrape_time,search_query,search_location
506,506,Cloud Data Engineer,Cenergy International Services,"Irwindale, CA, US",Entry level,Posted 3 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
507,507,Data Analyst,Naval Air Systems Command (NAVAIR),"Corona, CA, US",Entry level,Posted 4 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
508,508,SUPERVISORY ENGINEER/SCIENTIST,Sonic Healthcare USA,"Santa Fe Springs, CA, US",Entry level,Posted 2 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
509,509,Specimen Processor - 3rd Shift - Santa Fe Springs,Robert Half,"Playa Vista, CA, US",Entry level,Posted 2 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
510,510,Data Analyst,Cenergy,"Santa Clarita, CA, US",Entry level,Posted 1 week ago,Temporary,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
511,511,Data Analyst,ZS,"Los Angeles, CA, US",Entry level,Posted 1 day ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
512,512,Data Science Associate - Intern (All Other US Universities),KPMG US,"Los Angeles, CA, US",,Posted 2 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
513,513,"Sr. Associate, Big Data Software Engineer",Solugenix,"Irvine, CA, US",Mid-Senior level,Posted 2 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
514,514,Data Scientist -Irvine,Providence Health & Services,"Fullerton, CA, US",Entry level,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
515,515,Clinical Laboratory Scientist,Dollar Shave Club,"Marina del Rey, CA, US",Associate,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
516,516,Data Engineer IV,HIGH BRIDGE & CO.,"Los Angeles, CA, US",Associate,Posted 5 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
517,517,Data Analyst(LIBOR) -Los Angeles County,AAA,"Costa Mesa, CA, US",Entry level,Posted 2 months ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
518,518,Sr DevOps Developer- Big Data,"Scadea Solutions, Inc.","Orange, CA, US",Associate,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
519,519,Data Analyst -Orange County,Sony Pictures Entertainment,"Culver City, CA, US",Entry level,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
520,520,"Graduate Data Science Analytics Intern, Sony Pictures Television - Summer 2020",MemorialCare,"Laguna Hills, CA, US",Internship,Posted 2 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
521,521,"Laboratory Technical Specialist, Core Lab, Full Time/Day (10hr)",Apollo Global Management Inc.,"Woodland Hills, CA, US",Entry level,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
522,522,Data Analyst/Programmer,"iSpace, Inc.","Torrance, CA, US",Entry level,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
523,523,Data Analyst Level II -Torrance,Conversion Labs,"Los Angeles, CA, US",Entry level,Posted 6 months ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
524,524,Conversion Rate Optimization & Data Analyst,Harnham,Los Angeles Metropolitan Area,Entry level,Posted 3 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
525,525,Staff Data Scientist,Agoda,"Los Angeles, CA, US",,Posted 5 days ago,,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
526,526,Data Science Director (Bangkok based),Esri,"Redlands, CA, US",Director,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
