,job_id,skill
1089,64,mentoring
1090,64,query writing
1091,64,report writing
1092,64,scala
1093,64,sql
1094,64,writing
1095,65,analytics
1096,65,business
1097,65,communication
1098,65,computer science
1099,65,data manipulation
1100,65,data quality
1101,65,data science
1102,65,deep learning
1103,65,engineering
1104,65,excel
1105,65,machine learning
1106,65,mathematics
1107,65,natural language processing
1108,65,python
1109,65,sql
1110,65,tensorflow
1111,65,troubleshooting
1112,65,written communication
1113,66,analytics
1114,66,bachelor's degree
1115,66,data manipulation
1116,66,data visualization
1117,66,excel
1118,66,ios
1119,66,pandas
1120,66,research
1121,66,scala
1122,66,scripting
1123,66,statistical analysis
1124,66,vba
1125,67,amazon
1126,67,amazon web service
1127,67,amazon web services (aws)
1128,67,analytics
1129,67,apache
1130,67,apache spark
1131,67,azure
1132,67,azure data factory
1133,67,big data
1134,67,business
1135,67,communication
1136,67,computer science
1137,67,data engineering
1138,67,data modeling
1139,67,data pipelines
1140,67,data products
1141,67,data quality
1142,67,data warehousing
1143,67,databases
1144,67,design
1145,67,engineering
1146,67,excel
1147,67,"extract, transform, load"
1148,67,"extract, transform, load (etl)"
1149,67,gcp
1150,67,google cloud platform
1151,67,google cloud platform (gcp)
1152,67,hadoop
1153,67,hive
1154,67,java
1155,67,java
1156,67,leadership
1157,67,linux
1158,67,machine learning
1159,67,mathematics
1160,67,microsoft azure
1161,67,next gen
1162,67,nosql
1163,67,problem solving
1164,67,python
1165,67,sql
1166,67,statistics
1167,67,teradata
1168,67,unix
1169,68,advertising
1170,68,analytics
1171,68,business
1172,68,business insights
1173,68,communication
1174,68,computer science
1175,68,data engineering
1176,68,data products
1177,68,data science
1178,68,data visualization
1179,68,data warehousing
1180,68,design
1181,68,engineering
1182,68,excel
1183,68,google analytics
1184,68,hadoop
1185,68,hive
1186,68,ios
1187,68,leadership
1188,68,marketing
1189,68,mathematics
1190,68,operations
1191,68,presentation skills
1192,68,process improvement
1193,68,python
1194,68,sas
1195,68,scripting
1196,68,snowflake
1197,68,sql
1198,68,statistics
1199,68,tableau
1200,68,web analytics
1201,69,analytical skills
1202,69,analytics
1203,69,bachelor's degree
1204,69,communication
1205,69,computer science
1206,69,data analysis
1207,69,data analytics
1208,69,data architecture
1209,69,data mining
1210,69,data models
1211,69,data science
1212,69,databases
1213,69,design
1214,69,excel
1215,69,mathematics
1216,69,query writing
1217,69,relational databases
1218,69,report writing
1219,69,scriptwriting
1220,69,sql
1221,69,statistical packages
1222,69,statistics
1223,69,writing
1224,70,business
1225,70,computer science
1226,70,data collection
1227,70,data management
1228,70,data quality
1229,70,databases
1230,70,documentation
1231,70,mathematics
1232,70,query writing
1233,70,resume
1234,70,scala
1235,70,sql
1236,70,writing
1237,71,analytical skills
1238,71,analytics
1239,71,bachelor's degree
1240,71,business
1241,71,business insights
1242,71,computer science
1243,71,data analysis
1244,71,data analytics
1245,71,data management
1246,71,data mining
1247,71,data science
1248,71,data visualization
1249,71,databases
1250,71,design
1251,71,engineering
1252,71,machine learning
1253,71,mathematics
1254,71,python
1255,71,relational databases
1256,71,research
1257,71,research projects
1258,71,sas
1259,71,scripting
1260,71,sql
1261,71,statistical modeling
1262,71,statistics
1263,71,weka
1264,72,advertising
1265,72,analytics
1266,72,artificial intelligence
1267,72,artificial intelligence (ai)
1268,72,campaigns
1269,72,communication
1270,72,data analytics
1271,72,data science
1272,72,etl tools
1273,72,excel
1274,72,information systems
1275,72,machine learning
1276,72,marketing
1277,72,research
1278,72,web analytics
1279,73,analytical skills
1280,73,analytics
1281,73,bachelor's degree
1282,73,business
1283,73,data analysis
1284,73,data analytics
1285,73,data mining
1286,73,data presentation
1287,73,data science
1288,73,design
1289,73,excel
1290,73,leadership
1291,73,microsoft excel
1292,73,operations
1293,73,reporting & analysis
1294,73,reporting tool
1295,73,research
1296,73,sas
1297,73,sql
1298,73,sql server reporting services (ssrs)
1299,74,business
1300,74,communication
1301,74,data analysis
1302,74,excel
1303,74,leadership
1304,74,sql
1305,74,writing
1306,75,analytics
1307,75,business
1308,75,customer experience
1309,75,data structures
1310,75,data visualization
1311,75,design
1312,75,engineering
1313,75,kubernetes
1314,75,machine learning
1315,75,mathematics
1316,75,operations
1317,75,python
1318,75,software development
1319,75,sql
1320,75,statistical modeling
1321,75,statistics
1322,75,tableau
1323,75,troubleshooting
1324,76,amazon
1325,76,analytics
1326,76,business
1327,76,data analysis
1328,76,data analytics
1329,76,data collection
1330,76,data models
1331,76,data visualization
1332,76,data-driven decision making
1333,76,design
1334,76,engineering
1335,76,excel
1336,76,google analytics
1337,76,google tag manager
1338,76,machine learning
1339,76,problem solving
1340,76,python
1341,76,sql
1342,76,statistical analysis
1343,76,tableau
1344,76,web analytics
1345,76,writing
1346,77,accounting
1347,77,analytics
1348,77,business
1349,77,communication
1350,77,computer science
1351,77,data integration
1352,77,database systems
1353,77,design
1354,77,engineering
1355,77,excel
1356,77,"extract, transform, load"
1357,77,finance
1358,77,financial analysis
1359,77,information systems
1360,77,ios
1361,77,power bi
1362,77,process improvement
1363,77,python
1364,77,reporting tool
1365,77,sql
1366,77,tableau
1367,77,vba
1368,78,advertising
1369,78,analytics
1370,78,business
1371,78,communication
1372,78,data analysis
1373,78,data integrity
1374,78,data mining
1375,78,data modeling
1376,78,data science
1377,78,data visualization
1378,78,design
1379,78,excel
1380,78,ios
1381,78,looker
1382,78,marketing
1383,78,microsoft excel
1384,78,presentation skills
1385,78,python
1386,78,research
1387,78,sql
1388,78,statistics
1389,78,tableau
1390,79,analytical skills
1391,79,blackrock aladdin
1392,79,communication
1393,79,data analysis
1394,79,excel
1395,79,finance
1396,79,financial data
1397,79,libor
1398,79,microsoft excel
1399,79,organization skills
1400,79,project management
1401,79,python
1402,79,python (programming language)
1403,79,vba
1404,79,visual basic for applications
1405,79,visual basic for applications (vba)
1406,80,data analysis
1407,80,data warehousing
1408,81,analytics
1409,81,bioengineering
1410,81,bioinformatics
1411,81,business
1412,81,communication
1413,81,data analysis
1414,81,data analytics
1415,81,data modeling
1416,81,data science
1417,81,data visualization
1418,81,design
1419,81,engineering
1420,81,excel
1421,81,project management
1422,81,python
1423,81,research
1424,81,tableau
1425,82,analytics
1426,82,bachelor's degree
1427,82,computer science
1428,82,design
1429,82,excel
1430,82,financial data
1431,82,interpersonal skills
1432,82,master's degree
1433,83,analytics
1434,83,business
1435,83,communication
1436,83,computer science
1437,83,data manipulation
1438,83,data quality
1439,83,data science
1440,83,deep learning
1441,83,engineering
1442,83,excel
1443,83,machine learning
1444,83,mathematics
1445,83,natural language processing
1446,83,python
1447,83,sql
1448,83,troubleshooting
1449,83,written communication
1450,84,accounting
1451,84,asset management
1452,84,business
1453,84,communication
1454,84,excel
1455,84,finance
1456,84,fixed income
1457,84,insurance
1458,84,operations
1459,84,reporting tool
1460,84,research
1461,84,sql
1462,84,tableau
1463,84,written communication
1464,85,azure
1465,85,business
1466,85,business analysis
1467,85,business intelligence (bi)
1468,85,databases
1469,85,design
1470,85,leadership
1471,85,relational databases
1472,85,statistics
1473,86,advertising
1474,86,analytics
1475,86,business
1476,86,data integrity
1477,86,engineering
1478,86,excel
1479,86,marketing
1480,86,operations
1481,86,python
1482,86,sales
1483,86,sql
1484,86,tableau
1485,87,business
1486,87,excel
1487,87,problem solving
1488,87,sql
1489,88,excel
1490,88,libor
1491,88,vba
1492,89,business
1493,89,communication
1494,89,data models
1495,89,excel
1496,89,sql
1497,89,tableau
1498,90,analytics
1499,90,applied mathematics
1500,90,business
1501,90,communication
1502,90,computer science
1503,90,core data
1504,90,data analysis
1505,90,data mining
1506,90,data visualization
1507,90,design
1508,90,engineering
1509,90,excel
1510,90,finance
1511,90,machine learning
1512,90,machine learning algorithms
1513,90,mathematics
1514,90,research
1515,90,statistics
1516,91,finance
1517,91,sql
1518,92,analytics
1519,92,business
1520,92,communication
1521,92,computer science
1522,92,data analysis
1523,92,data modeling
1524,92,data visualization
1525,92,design
1526,92,engineering
1527,92,etl tools
1528,92,excel
1529,92,interpersonal skills
1530,92,presentation skills
1531,92,sql
1532,92,tableau
1533,93,analytics
1534,93,bachelor's degree
1535,93,business
1536,93,data models
1537,93,data validation
1538,93,database systems
1539,93,databases
1540,93,design
1541,93,engineering
1542,93,fortune 500
1543,93,key metrics
1544,93,master's degree
1545,93,postgres
1546,93,power bi
1547,93,problem solving
1548,93,relational databases
1549,93,reporting tool
1550,93,sql
1551,93,time management
1552,94,accounting
1553,94,amazon
1554,94,amazon web service
1555,94,amazon web services (aws)
1556,94,blackline
1557,94,business
1558,94,computer science
1559,94,data analysis
1560,94,data engineering
1561,94,data mining
1562,94,data munging
1563,94,data products
1564,94,data science
1565,94,data warehousing
1566,94,databases
1567,94,engineering
1568,94,finance
1569,94,gcp
1570,94,google cloud platform
1571,94,google cloud platform (gcp)
1572,94,linux
1573,94,machine learning
1574,94,machine learning algorithms
1575,94,master's degree
1576,94,multivariate analysis
1577,94,pattern recognition
1578,94,plain language
1579,94,product management
1580,94,python
1581,94,relational databases
1582,94,research
1583,94,sas
1584,94,scala
1585,94,sql
1586,94,statistics
1587,94,tensorflow
1588,94,unix
1589,95,advertising
1590,95,business
1591,95,computer science
1592,95,data science
1593,95,databases
1594,95,design
1595,95,engineering
1596,95,excel
1597,95,google cloud platform
1598,95,ios
1599,95,machine learning
1600,95,marketing
1601,95,mathematics
1602,95,python
1603,95,research
1604,95,resume
1605,95,scala
1606,95,sql
1607,95,statistical packages
1608,95,statistics
1609,96,analytics
1610,96,bachelor's degree
1611,96,business
1612,96,business insights
1613,96,critical thinking
1614,96,data analysis
1615,96,data analytics
1616,96,data science
1617,96,data visualization
1618,96,databases
1619,96,machine learning
1620,96,marketing
1621,96,mathematics
1622,96,power bi
1623,96,problem solving
1624,96,python
1625,96,python (programming language)
1626,96,query writing
1627,96,relational databases
1628,96,sas
1629,96,sql
1630,96,statistics
1631,96,tableau
1632,96,writing
1633,97,analytical skills
1634,97,analytics
1635,97,bachelor's degree
